transitions (M),memory(MB),memory(MB),memory(GB),memory(GB)
0.94,353.52576,357.3039104,0.35352576,0.35730391
0.95,355.3230848,359.8843904,0.355323085,0.35988439
0.96,358.1100032,362.7311104,0.358110003,0.36273111
0.97,360.300544,365.0576384,0.360300544,0.365057638
0.98,362.3911424,367.763456,0.362391142,0.367763456
0.99,365.0117632,369.6320512,0.365011763,0.369632051
1,367.2440832,371.683328,0.367244083,0.371683328
1.01,369.7524736,374.3391744,0.369752474,0.374339174
1.02,371.8709248,376.1545216,0.371870925,0.376154522
1.03,374.3399936,378.748928,0.374339994,0.378748928
1.04,384.528384,381.0148352,0.384528384,0.381014835
1.05,387.0531584,383.6649472,0.387053158,0.383664947
1.06,389.5328768,386.4215552,0.389532877,0.386421555
1.07,391.872512,388.8521216,0.391872512,0.388852122
1.08,394.2424576,397.266944,0.394242458,0.397266944
1.09,396.4280832,402.7170816,0.396428083,0.402717082
1.1,398.9897216,405.4966272,0.398989722,0.405496627
1.11,401.0737664,407.9157248,0.401073766,0.407915725
1.12,403.5641344,410.312704,0.403564134,0.410312704
1.13,405.8177536,412.4966912,0.405817754,0.412496691
1.14,408.0820224,414.5545216,0.408082022,0.414554522
1.15,410.4790016,416.9105408,0.410479002,0.416910541
1.16,412.3828224,419.1657984,0.412382822,0.419165798
1.17,414.8224,421.4833152,0.4148224,0.421483315
1.18,417.1096064,423.9007744,0.417109606,0.423900774
1.19,419.528704,426.2641664,0.419528704,0.426264166
1.2,421.8003456,428.5431808,0.421800346,0.428543181
1.21,423.7836288,431.3890816,0.423783629,0.431389082
1.22,426.5828352,434.1284864,0.426582835,0.434128486
1.23,428.5284352,436.5459456,0.428528435,0.436545946
1.24,430.7001344,439.1452672,0.430700134,0.439145267
1.25,433.1216896,441.3956096,0.43312169,0.44139561
1.26,435.3605632,443.3911808,0.435360563,0.443391181
1.27,437.6584192,445.7447424,0.437658419,0.445744742
1.28,439.844864,448.0032768,0.439844864,0.448003277
1.29,442.2189056,450.3216128,0.442218906,0.450321613
1.3,444.5888512,452.8873472,0.444588851,0.452887347
1.31,447.0472704,455.102464,0.44704727,0.455102464
1.32,449.3172736,457.4560256,0.449317274,0.457456026
1.33,451.657728,459.5695616,0.451657728,0.459569562
1.34,453.9211776,462.1402112,0.453921178,0.462140211
1.35,455.9085568,464.551936,0.455908557,0.464551936
1.36,458.059776,467.1889408,0.458059776,0.467188941
1.37,460.4977152,469.8472448,0.460497715,0.469847245
1.38,462.8430848,472.12544,0.462843085,0.47212544
1.39,465.1728896,474.2119424,0.46517289,0.474211942
1.4,467.1152128,476.1239552,0.467115213,0.476123955
1.41,469.3991424,478.400512,0.469399142,0.478400512
1.42,471.9542272,480.854016,0.471954227,0.480854016
1.43,474.0284416,483.467264,0.474028442,0.483467264
1.44,476.3312128,485.8560512,0.476331213,0.485856051
1.45,478.53568,488.3456,0.47853568,0.4883456
1.46,480.8884224,490.672128,0.480888422,0.490672128
1.47,483.40992,492.9191936,0.48340992,0.492919194
1.48,485.5488512,495.3833472,0.485548851,0.495383347
1.49,487.9187968,497.881088,0.487918797,0.497881088
1.5,489.8062336,499.8684672,0.489806234,0.499868467
1.51,492.0426496,502.82496,0.49204265,0.50282496
1.52,494.2585856,504.8795136,0.494258586,0.504879514
1.53,496.3565568,507.6271104,0.496356557,0.50762711
1.54,498.5339904,509.280256,0.49853399,0.509280256
1.55,501.108736,511.3372672,0.501108736,0.511337267
1.56,503.2189952,513.6842752,0.503218995,0.513684275
1.57,505.5971328,515.8658048,0.505597133,0.515865805
1.58,507.6402176,518.3029248,0.507640218,0.518302925
1.59,509.935616,520.7769088,0.509935616,0.520776909
1.6,511.6420096,522.8281856,0.51164201,0.522828186
1.61,514.4551424,525.594624,0.514455142,0.525594624
1.62,516.4679168,527.3993216,0.516467917,0.527399322
1.63,518.4659456,530.2657024,0.518465946,0.530265702
1.64,520.8817664,532.5602816,0.520881766,0.532560282
1.65,522.7814912,534.4116736,0.522781491,0.534411674
1.66,525.504512,535.703552,0.525504512,0.535703552
1.67,527.0388736,537.6024576,0.527038874,0.537602458
1.68,529.7291264,539.0893056,0.529729126,0.539089306
1.69,531.4338816,540.5499392,0.531433882,0.540549939
1.7,533.74976,542.2751744,0.53374976,0.542275174
1.71,535.8272512,544.4091904,0.535827251,0.54440919
1.72,538.0694016,546.3638016,0.538069402,0.546363802
1.73,540.5884416,548.7484928,0.540588442,0.548748493
1.74,542.380032,550.87104,0.542380032,0.55087104
1.75,544.608256,553.4220288,0.544608256,0.553422029
1.76,546.5358336,556.0623104,0.546535834,0.55606231
1.77,549.3661696,558.3413248,0.54936617,0.558341325
1.78,551.3232384,560.0780288,0.551323238,0.560078029
1.79,553.2123136,562.0391936,0.553212314,0.562039194
1.8,555.4774016,563.8176768,0.555477402,0.563817677
1.81,557.8227712,565.0702336,0.557822771,0.565070234
1.82,559.7175808,566.4473088,0.559717581,0.566447309
1.83,561.913856,567.6990464,0.561913856,0.567699046
1.84,564.0380416,569.4111744,0.564038042,0.569411174
1.85,566.112256,571.1781888,0.566112256,0.571178189
1.86,568.4576256,573.5841792,0.568457626,0.573584179
1.87,570.351616,575.6297216,0.570351616,0.575629722
1.88,572.891136,578.117632,0.572891136,0.578117632
1.89,574.7818496,580.5539328,0.57478185,0.580553933
1.9,576.9158656,582.7510272,0.576915866,0.582751027
1.91,578.8024832,585.2004352,0.578802483,0.585200435
1.92,581.0610176,587.4909184,0.581061018,0.587490918
1.93,583.0729728,589.2145152,0.583072973,0.589214515
1.94,585.2921856,590.8586496,0.585292186,0.59085865
1.95,587.231232,592.0825344,0.587231232,0.592082534
1.96,589.729792,593.330176,0.589729792,0.593330176
1.97,591.7720576,595.0185472,0.591772058,0.595018547
1.98,593.8929664,596.1261056,0.593892966,0.596126106
1.99,595.5846144,598.0102656,0.595584614,0.598010266
2,597.9717632,600.2475008,0.597971763,0.600247501
2.01,599.7748224,602.468352,0.599774822,0.602468352
2.02,601.9907584,604.389376,0.601990758,0.604389376
2.03,603.7168128,606.96576,0.603716813,0.60696576
2.04,606.0556288,609.1251712,0.606055629,0.609125171
2.05,608.2609152,611.3148928,0.608260915,0.611314893
2.06,610.3425024,613.3981184,0.610342502,0.613398118
2.07,612.1791488,615.2937472,0.612179149,0.615293747
2.08,614.2926848,616.7609344,0.614292685,0.616760934
2.09,616.439808,618.315776,0.616439808,0.618315776
2.1,618.438656,619.3405952,0.618438656,0.619340595
2.11,620.699648,621.133824,0.620699648,0.621133824
2.12,622.6231296,622.5575936,0.62262313,0.622557594
2.13,624.7170048,625.0938368,0.624717005,0.625093837
2.14,626.76992,626.5192448,0.62676992,0.626519245
2.15,628.604928,628.6573568,0.628604928,0.628657357
2.16,631.0961152,630.398976,0.631096115,0.630398976
2.17,633.1236352,632.8541184,0.633123635,0.632854118
2.18,635.0372864,634.8046336,0.635037286,0.634804634
2.19,637.059072,636.7707136,0.637059072,0.636770714
2.2,639.1504896,638.8432896,0.63915049,0.63884329
2.21,641.4344192,641.097728,0.641434419,0.641097728
2.22,643.4414592,642.7721728,0.643441459,0.642772173
2.23,645.5320576,644.2868736,0.645532058,0.644286874
2.24,647.4801152,645.8851328,0.647480115,0.645885133
2.25,649.7419264,647.0385664,0.649741926,0.647038566
2.26,651.616256,648.3582976,0.651616256,0.648358298
2.27,653.561856,650.1793792,0.653561856,0.650179379
2.28,655.4058752,652.4715008,0.655405875,0.652471501
2.29,657.2990464,654.290944,0.657299046,0.654290944
2.3,673.5151104,656.15872,0.67351511,0.65615872
2.31,677.8281984,658.5843712,0.677828198,0.658584371
2.32,679.8974976,660.3964416,0.679897498,0.660396442
2.33,681.775104,662.319104,0.681775104,0.662319104
2.34,683.7927936,664.358912,0.683792794,0.664358912
2.35,685.5180288,666.2766592,0.685518029,0.666276659
2.36,687.1793664,673.9894272,0.687179366,0.673989427
2.37,689.2273664,686.747648,0.689227366,0.686747648
2.38,691.1606784,688.156672,0.691160678,0.688156672
2.39,692.8433152,689.618944,0.692843315,0.689618944
2.4,694.9085184,690.925568,0.694908518,0.690925568
2.41,696.561664,692.96128,0.696561664,0.69296128
2.42,698.73664,694.6865152,0.69873664,0.694686515
2.43,700.3439104,696.909824,0.70034391,0.696909824
2.44,702.287872,698.7907072,0.702287872,0.698790707
2.45,704.2310144,701.0304,0.704231014,0.7010304
2.46,705.9996672,702.7458048,0.705999667,0.702745805
2.47,707.9469056,704.59392,0.707946906,0.70459392
2.48,709.5271424,706.6361856,0.709527142,0.706636186
