transitions,memory(MB),memory(MB),memory(GB),memory(GB)
0.6,126.189568,131.5938304,0.126189568,0.13159383
0.61,126.6720768,132.2614784,0.126672077,0.132261478
0.62,127.3053184,132.8922624,0.127305318,0.132892262
0.63,127.8681088,134.1464576,0.127868109,0.134146458
0.64,128.4440064,134.7436544,0.128444006,0.134743654
0.65,129.0059776,134.6142208,0.129005978,0.134614221
0.66,129.5572992,134.6592768,0.129557299,0.134659277
0.67,130.0455424,135.4563584,0.130045542,0.135456358
0.68,130.5296896,136.1002496,0.13052969,0.13610025
0.69,131.0875648,136.8891392,0.131087565,0.136889139
0.7,131.5397632,137.6247808,0.131539763,0.137624781
0.71,131.9657472,138.3194624,0.131965747,0.138319462
0.72,132.5154304,139.1304704,0.13251543,0.13913047
0.73,133.0126848,139.8431744,0.133012685,0.139843174
0.74,133.4984704,140.4633088,0.13349847,0.140463309
0.75,134.025216,141.4586368,0.134025216,0.141458637
0.76,134.5691648,142.5342464,0.134569165,0.142534246
0.77,135.1008256,142.8963328,0.135100826,0.142896333
0.78,135.6275712,143.2182784,0.135627571,0.143218278
0.79,136.155136,143.3657344,0.136155136,0.143365734
0.8,136.6335488,143.9244288,0.136633549,0.143924429
0.81,137.1021312,144.4790272,0.137102131,0.144479027
0.82,137.674752,145.0541056,0.137674752,0.145054106
0.83,140.4829696,145.801216,0.14048297,0.145801216
0.84,140.8712704,146.4492032,0.14087127,0.146449203
0.85,141.2448256,147.2380928,0.141244826,0.147238093
0.86,141.9378688,148.1498624,0.141937869,0.148149862
0.87,142.4244736,150.7753984,0.142424474,0.150775398
0.88,143.1150592,151.195648,0.143115059,0.151195648
0.89,143.6164096,151.486464,0.14361641,0.151486464
0.9,144.2545664,151.650304,0.144254566,0.151650304
0.91,144.924672,152.0451584,0.144924672,0.152045158
0.92,145.4194688,152.7349248,0.145419469,0.152734925
0.93,146.1116928,153.2100608,0.146111693,0.153210061
0.94,146.6564608,153.7015808,0.146656461,0.153701581
0.95,147.1479808,154.513408,0.147147981,0.154513408
0.96,147.6304896,155.2785408,0.14763049,0.155278541
0.97,148.0818688,157.483008,0.148081869,0.157483008
0.98,148.5307904,156.4581888,0.14853079,0.156458189
0.99,148.9641472,156.9103872,0.148964147,0.156910387
1,149.4237184,157.1504128,0.149423718,0.157150413
1.01,149.8816512,157.5346176,0.149881651,0.157534618
1.02,150.3371264,158.1039616,0.150337126,0.158103962
1.03,150.8253696,158.5332224,0.15082537,0.158533222
1.04,151.2923136,159.162368,0.151292314,0.159162368
1.05,151.7764608,159.8865408,0.151776461,0.159886541
1.06,152.2466816,160.4476928,0.152246682,0.160447693
1.07,152.7177216,161.2201984,0.152717722,0.161220198
1.08,153.194496,162.0017152,0.153194496,0.162001715
1.09,153.6917504,162.5645056,0.15369175,0.162564506
1.1,154.1357568,162.8831744,0.154135757,0.162883174
1.11,154.5191424,163.2370688,0.154519142,0.163237069
1.12,155.0000128,163.6073472,0.155000013,0.163607347
1.13,155.4997248,164.1611264,0.155499725,0.164161126
1.14,156.049408,164.8214016,0.156049408,0.164821402
