transition(MB),memory(MB),memory(MB),memory(GB),memory(GB)
1.8,185.1621376,190.1371392,0.185162138,0.190137139
1.81,185.3472768,190.7785728,0.185347277,0.190778573
1.82,185.5184896,191.4773504,0.18551849,0.19147735
1.83,185.618432,191.4626048,0.185618432,0.191462605
1.84,186.8382208,189.059072,0.186838221,0.189059072
1.85,187.0307328,189.2319232,0.187030733,0.189231923
1.86,187.2781312,189.6267776,0.187278131,0.189626778
1.87,187.8269952,190.0568576,0.187826995,0.190056858
1.88,188.0358912,190.5393664,0.188035891,0.190539366
1.89,188.2292224,190.9317632,0.188229222,0.190931763
1.9,188.4995584,191.3454592,0.188499558,0.191345459
1.91,188.829696,191.95904,0.188829696,0.19195904
1.92,189.1729408,192.5840896,0.189172941,0.19258409
1.93,189.5907328,193.1616256,0.189590733,0.193161626
1.94,190.0232704,193.4188544,0.19002327,0.193418854
1.95,190.1830144,191.9434752,0.190183014,0.191943475
1.96,190.431232,190.8383744,0.190431232,0.190838374
1.97,190.4984064,191.2086528,0.190498406,0.191208653
1.98,190.5483776,191.7935616,0.190548378,0.191793562
1.99,190.5549312,192.2506752,0.190554931,0.192250675
2,190.5451008,192.8093696,0.190545101,0.19280937
2.01,190.5352704,193.2959744,0.19053527,0.193295974
2.02,190.5238016,193.974272,0.190523802,0.193974272
2.03,190.5180672,194.6443776,0.190518067,0.194644378
2.04,190.5082368,195.3325056,0.190508237,0.195332506
2.05,190.4992256,196.050944,0.190499226,0.196050944
2.06,190.5442816,196.4990464,0.190544282,0.196499046
2.07,190.603264,193.7301504,0.190603264,0.19373015
2.08,190.6925568,194.0144128,0.190692557,0.194014413
2.09,190.8088832,194.5198592,0.190808883,0.194519859
2.1,190.9604352,194.8352512,0.190960435,0.194835251
2.11,191.0358016,195.4021376,0.191035802,0.195402138
2.12,191.1824384,195.9174144,0.191182438,0.195917414
2.13,191.4970112,196.620288,0.191497011,0.196620288
2.14,191.7321216,197.2240384,0.191732122,0.197224038
2.15,192.028672,197.9195392,0.192028672,0.197919539
2.16,192.3497984,198.6166784,0.192349798,0.198616678
2.17,192.6684672,199.0844416,0.192668467,0.199084442
2.18,193.1534336,199.0672384,0.193153434,0.199067238
2.19,193.7186816,199.0991872,0.193718682,0.199099187
2.2,194.1946368,199.1073792,0.194194637,0.199107379
2.21,194.5976832,199.1008256,0.194597683,0.199100826
2.22,195.108864,199.0950912,0.195108864,0.199095091
2.23,195.4349056,199.0926336,0.195434906,0.199092634
2.24,195.66592,199.0877184,0.19566592,0.199087718
2.25,195.8780928,199.3211904,0.195878093,0.19932119
2.26,195.9149568,199.9609856,0.195914957,0.199960986
2.27,195.9501824,200.3869696,0.195950182,0.20038697
2.28,195.9682048,200.7195648,0.195968205,0.200719565
2.29,195.9952384,200.7195648,0.195995238,0.200719565
2.3,196.059136,200.7187456,0.196059136,0.200718746
2.31,196.0607744,199.9233024,0.196060774,0.199923302
2.32,196.1476096,200.0355328,0.19614761,0.200035533
2.33,196.2459136,200.1354752,0.196245914,0.200135475
2.34,196.2950656,200.2919424,0.196295066,0.200291942
2.35,196.4212224,200.3812352,0.196421222,0.200381235
2.36,196.5481984,204.673024,0.196548198,0.204673024
2.37,196.636672,204.9073152,0.196636672,0.204907315
2.38,196.7546368,205.5036928,0.196754637,0.205503693
2.39,196.8898048,206.1361152,0.196889805,0.206136115
2.4,197.0200576,206.7849216,0.197020058,0.206784922
2.41,197.36576,207.38048,0.19736576,0.20738048
2.42,197.5361536,207.4148864,0.197536154,0.207414886
2.43,197.763072,207.4271744,0.197763072,0.207427174
2.44,198.12352,207.44192,0.19812352,0.20744192
2.45,198.4667648,207.4288128,0.198466765,0.207428813
2.46,198.8001792,207.4238976,0.198800179,0.207423898
2.47,199.2286208,207.417344,0.199228621,0.207417344
2.48,199.7234176,207.413248,0.199723418,0.207413248
2.49,200.1207296,207.5959296,0.20012073,0.20759593
2.5,200.37632,208.0505856,0.20037632,0.208050586
2.51,200.630272,208.5986304,0.200630272,0.20859863
2.52,200.9120768,209.2744704,0.200912077,0.20927447
2.53,201.056256,209.3244416,0.201056256,0.209324442
2.54,201.1471872,209.3244416,0.201147187,0.209324442
2.55,201.240576,209.3080576,0.201240576,0.209308058
2.56,201.2495872,209.3441024,0.201249587,0.209344102
2.57,201.2454912,209.3350912,0.201245491,0.209335091
2.58,201.2520448,209.3277184,0.201252045,0.209327718
2.59,201.2438528,209.3244416,0.201243853,0.209324442
2.6,201.2372992,209.313792,0.201237299,0.209313792
2.61,201.2299264,209.3563904,0.201229926,0.20935639
2.62,201.2225536,209.7831936,0.201222554,0.209783194
2.63,201.2135424,210.4967168,0.201213542,0.210496717
2.64,201.2741632,210.9939712,0.201274163,0.210993971
2.65,201.3749248,211.6550656,0.201374925,0.211655066
2.66,201.4470144,211.668992,0.201447014,0.211668992
2.67,201.5780864,211.6673536,0.201578086,0.211667354
2.68,201.6395264,211.6632576,0.201639526,0.211663258
2.69,201.764864,211.656704,0.201764864,0.211656704
2.7,201.9885056,211.6501504,0.201988506,0.21165015
2.71,202.211328,211.6452352,0.202211328,0.211645235
2.72,202.50624,211.6411392,0.20250624,0.211641139
2.73,202.7200512,211.9417856,0.202720051,0.211941786
2.74,202.9592576,212.4038144,0.202959258,0.212403814
2.75,203.235328,213.0198528,0.203235328,0.213019853
2.76,203.5826688,213.4859776,0.203582669,0.213485978
2.77,203.8800384,213.2893696,0.203880038,0.21328937
2.78,204.214272,213.3147648,0.204214272,0.213314765
2.79,204.5116416,213.3213184,0.204511642,0.213321318
2.8,204.701696,213.3188608,0.204701696,0.213318861
2.81,204.8884736,213.3147648,0.204888474,0.213314765
2.82,205.103104,213.3139456,0.205103104,0.213313946
2.83,205.2472832,213.364736,0.205247283,0.213364736
2.84,205.33248,213.8718208,0.20533248,0.213871821
2.85,205.426688,214.1421568,0.205426688,0.214142157
2.86,205.4627328,214.7418112,0.205462733,0.214741811
2.87,205.4815744,215.0227968,0.205481574,0.215022797
2.88,205.467648,215.0219776,0.205467648,0.215021978
2.89,205.4725632,215.0211584,0.205472563,0.215021158
2.9,205.463552,214.5820672,0.205463552,0.214582067
2.91,205.4520832,214.5959936,0.205452083,0.214595994
2.92,205.4668288,214.5943552,0.205466829,0.214594355
2.93,205.541376,214.5910784,0.205541376,0.214591078
2.94,205.6298496,214.6009088,0.20562985,0.214600909
2.95,205.824,214.7049472,0.205824,0.214704947
2.96,206.0476416,214.8499456,0.206047642,0.214849946
2.97,206.3679488,215.06048,0.206367949,0.21506048
2.98,206.729216,215.6576768,0.206729216,0.215657677
2.99,207.0757376,216.1115136,0.207075738,0.216111514
3,207.4206208,216.2589696,0.207420621,0.21625897
3.01,207.6901376,216.0443392,0.207690138,0.216044339
3.02,207.9023104,215.8297088,0.20790231,0.215829709
3.03,208.0759808,215.6199936,0.208075981,0.215619994
3.04,208.3151872,215.3570304,0.208315187,0.21535703
